po_kpa,teor_de_fibra,comp_de_fibra,n,R2_q,R2_p,R2_ev
50,0.0,0.0,42,-1.608705171821902,-1.6087051718219043,0.9756783140315634
50,0.5,25.0,60,-5.2110875071356215,-5.211087507135622,0.5515289347009303
50,0.5,51.0,56,0.17214346087990562,0.17214346087990495,0.8567756375127082
50,1.0,12.5,49,0.7162269943269901,0.7162269943269899,0.6357636749132061
50,1.0,25.0,49,0.7388507629687477,0.7388507629687482,0.7787088917979084
50,1.0,51.0,41,0.8213479749246173,0.8213479749246173,-0.25724671034498625
100,0.0,0.0,47,0.5467523673556969,0.5467523673556972,0.9491813396780605
100,0.5,25.0,52,0.7333993316110408,0.7333993316110408,0.20050120866995969
100,0.5,51.0,54,0.7152097797697512,0.7152097797697514,0.8526924096932219
100,1.0,12.5,48,0.8083275817749553,0.8083275817749555,0.5855558813207558
100,1.0,25.0,45,0.7883572175423802,0.7883572175423802,0.7663062959604675
100,1.0,51.0,48,0.7309988168742273,0.7309988168742273,0.8784617543793255
200,0.0,0.0,59,0.7268887485523663,0.7268887485523665,0.43043751283663556
200,0.5,25.0,60,0.7938229952774584,0.7938229952774587,0.5758729807844949
200,0.5,51.0,45,0.7447923366528281,0.744792336652828,0.40381155591810547
200,1.0,12.5,48,0.8315909065591878,0.8315909065591879,0.6402598307626144
200,1.0,25.0,43,0.7708654139601323,0.770865413960132,0.6195565196447432
200,1.0,51.0,44,0.8794489086701489,0.8794489086701489,0.8358680742691906
300,0.0,0.0,59,0.6626184698847863,0.6626184698847863,0.014935428266578676
300,0.5,25.0,54,0.8626807691133132,0.8626807691133132,0.4954109496661817
300,0.5,51.0,54,0.6698111740694077,0.6698111740694077,-0.23437859751062184
300,1.0,12.5,49,0.8592631221036737,0.8592631221036737,0.4018280023116453
300,1.0,25.0,50,0.8014396241878743,0.8014396241878743,0.057399481416803955
300,1.0,51.0,51,0.9564918885503213,0.9564918885503213,0.1679693803883917
